feature	f1.naiveBayes	X140424_UNC13_SN749_0344_AC3WUKACXX_AGTTCC_L004	X120201_UNC11_SN627_0181_AC0CETACXX_GCCAAT_L001	X120425_UNC11_SN627_0224_BD0VAKACXX_CAGATC_L006	X120425_UNC11_SN627_0224_BD0VAKACXX_GATCAG_L008	X120425_UNC11_SN627_0224_BD0VAKACXX_TAGCTT_L004	X120604_UNC13_SN749_0179_AC0V5LACXX_GCCAAT_L004	X120201_UNC11_SN627_0181_AC0CETACXX_TAGCTT_L004	X120215_UNC10_SN254_0327_AC0CMCACXX_TAGCTT_L006	X120215_UNC10_SN254_0327_AC0CMCACXX_TAGCTT_L007	X120502_UNC14_SN744_0235_BD0YUTACXX_TAGCTT_L001	X120604_UNC13_SN749_0180_BD127FACXX_GCCAAT_L003	X120604_UNC13_SN749_0180_BD127FACXX_GCCAAT_L004	X120502_UNC14_SN744_0235_BD0YUTACXX_TAGCTT_L002	X120502_UNC14_SN744_0235_BD0YUTACXX_TAGCTT_L003	X120502_UNC14_SN744_0235_BD0YUTACXX_TAGCTT_L004	X120502_UNC14_SN744_0235_BD0YUTACXX_TAGCTT_L005	X120604_UNC13_SN749_0180_BD127FACXX_GCCAAT_L005	X120611_UNC15_SN850_0219_BD120UACXX_GCCAAT_L003	X120430_UNC10_SN254_0353_AC0TGUACXX_TGACCA_L003	X120501_UNC16_SN851_0154_BC0MB8ACXX_ACTTGA_L008	X120514_UNC16_SN851_0158_AC0UWTACXX_ACTTGA_L003	X131008_UNC15_SN850_0331_AC2KJ8ACXX_AGTCAA_L006	X131016_UNC15_SN850_0333_AC2MBAACXX_GTGGCC_L006	X121126_UNC9_SN296_0314_BC11Y0ACXX_CAGATC_L002	X121126_UNC9_SN296_0314_BC11Y0ACXX_TAGCTT_L003	X130205_UNC16_SN851_0213_AD1TC5ACXX_CTTGTA_L003	X130722_UNC9_SN296_0385_AD2F28ACXX_TAGCTT_L005	X131217_UNC14_SN744_0384_BC32YDACXX_GCCAAT_L003	X131217_UNC15_SN850_0343_AC330UACXX_CGATGT_L003	X140318_UNC12_SN629_0354_AC3K7VACXX_CTTGTA_L005	X140312_UNC15_SN850_0357_AC3M7FACXX_TTAGGC_L008	X130226_UNC14_SN744_0315_AD1V5TACXX_GCCAAT_L003	X111212_UNC15_SN850_0155_AD087AACXX_ACTTGA_L004	X120514_UNC16_SN851_0158_AC0UWTACXX_ACTTGA_L006	X120514_UNC11_SN627_0229_AD121AACXX_GATCAG_L006	X130814_UNC10_SN254_0487_AC2BD1ACXX_ACAGTG_L004	X130226_UNC14_SN744_0315_AD1V5TACXX_ATCACG_L004	X130722_UNC9_SN296_0385_AD2F28ACXX_ACTTGA_L006	X120501_UNC11_SN627_0226_AC0TGKACXX_GCCAAT_L007	X140826_UNC9_SN296_0432_AC5CAJACXX_CGTACG_L004	X130226_UNC14_SN744_0315_AD1V5TACXX_GCCAAT_L008	X120507_UNC10_SN254_0355_AC0TR8ACXX_ACAGTG_L007	X130226_UNC14_SN744_0315_AD1V5TACXX_CAGATC_L008	X120501_UNC11_SN627_0226_AC0TGKACXX_ACAGTG_L004	X120501_UNC11_SN627_0226_AC0TGKACXX_TGACCA_L008	X140820_UNC17_D00216_0240_AC5FB2ACXX_TTAGGC_L004	X140820_UNC17_D00216_0240_AC5FB2ACXX_ACTTGA_L005	X120521_UNC12_SN629_0212_AC0RWNACXX_TGACCA_L003	X120514_UNC16_SN851_0159_BC0TARACXX_GCCAAT_L008	X130827_UNC15_SN850_0325_BC2AV1ACXX_ACTTGA_L004	X130827_UNC15_SN850_0325_BC2AV1ACXX_TAGCTT_L005	X130722_UNC9_SN296_0385_AD2F28ACXX_GGCTAC_L008	X140312_UNC11_SN627_0348_AC3KRYACXX_ACTTGA_L002	X140312_UNC11_SN627_0348_AC3KRYACXX_CCGTCC_L003	X140815_UNC11_SN627_0374_AC5FPLACXX_CCGTCC_L007	X130325_UNC16_SN851_0231_BC20VNACXX_ACTTGA_L004	X140304_UNC14_SN744_0400_AC3LWGACXX_GGCTAC_L007	X140304_UNC14_SN744_0400_AC3LWGACXX_GAGTGG_L007	X130325_UNC12_SN629_0268_AC22W1ACXX_GTGGCC_L006	X130530_UNC9_SN296_0371_BC2528ACXX_TTAGGC_L008	X130328_UNC10_SN254_0443_AD238RACXX_AGTCAA_L003	X130424_UNC11_SN627_0294_BC236MACXX_GTTTCG_L007	X130606_UNC9_SN296_0372_AC277JACXX_GGCTAC_L001	X130722_UNC9_SN296_0385_AD2F28ACXX_GTTTCG_L008	X130723_UNC9_SN296_0386_BC2E4WACXX_GATCAG_L001	X130723_UNC9_SN296_0386_BC2E4WACXX_GTGGCC_L001	X130827_UNC15_SN850_0325_BC2AV1ACXX_GTGGCC_L006	X130723_UNC9_SN296_0386_BC2E4WACXX_ATCACG_L001	X130723_UNC9_SN296_0386_BC2E4WACXX_ACTTGA_L002	X131008_UNC15_SN850_0331_AC2KJ8ACXX_AGTTCC_L003	X131008_UNC11_SN627_0326_AC2KLPACXX_AGTTCC_L003	X131021_UNC9_SN296_0409_BC2M6NACXX_ATCACG_L004	X140102_UNC15_SN850_0344_AC384WACXX_ACAGTG_L002	X131016_UNC15_SN850_0333_AC2MBAACXX_ATCACG_L007	X140325_UNC11_SN627_0349_AC3KB8ACXX_GATCAG_L008	X140318_UNC14_SN744_0403_AC3M3WACXX_CGATGT_L001	X140325_UNC11_SN627_0349_AC3KB8ACXX_AGTCAA_L008	X140325_UNC15_SN850_0358_AC3LP7ACXX_GATCAG_L001	X140318_UNC14_SN744_0403_AC3M3WACXX_ACAGTG_L002	X140318_UNC14_SN744_0403_AC3M3WACXX_ACAGTG_L006	X140318_UNC14_SN744_0403_AC3M3WACXX_GCCAAT_L004	X140312_UNC11_SN627_0348_AC3KRYACXX_TGACCA_L002	X140318_UNC14_SN744_0403_AC3M3WACXX_TGACCA_L004	X140318_UNC14_SN744_0403_AC3M3WACXX_CGATGT_L003	X140318_UNC14_SN744_0403_AC3M3WACXX_GTGAAA_L003	X141031_UNC11_SN627_0387_AC5FAKACXX_GTCCGC_L002	X130827_UNC15_SN850_0324_AC2B28ACXX_CAGATC_L002	X130827_UNC15_SN850_0324_AC2B28ACXX_CTTGTA_L003	X130926_SN254_0496_AD2DY9ACXX_GTGGCC_L003	X140506_UNC15_SN850_0363_BC3YJYACXX_GATCAG_L004	X140509_UNC11_SN627_0357_BC4CGKACXX_ATGTCA_L002	X140815_UNC11_SN627_0375_BC59VCACXX_GTGAAA_L001	X140820_UNC17_D00216_0240_AC5FB2ACXX_GTTTCG_L007	X140826_UNC9_SN296_0432_AC5CAJACXX_ATCACG_L004	X140815_UNC11_SN627_0375_BC59VCACXX_CCGTCC_L001	X140820_UNC17_D00216_0240_AC5FB2ACXX_ACTTGA_L008	X140404_UNC11_SN627_0350_BC3K66ACXX_ATCACG_L001	X140312_UNC11_SN627_0348_AC3KRYACXX_GCCAAT_L007	X140312_UNC11_SN627_0348_AC3KRYACXX_AGTTCC_L008	X140318_UNC14_SN744_0403_AC3M3WACXX_ATCACG_L007	X140305_UNC13_SN749_0334_BC3L6VACXX_ATCACG_L006	X140305_UNC13_SN749_0334_BC3L6VACXX_GTCCGC_L003	X140318_UNC12_SN629_0354_AC3K7VACXX_ACTTGA_L002	X140305_UNC13_SN749_0334_BC3L6VACXX_ACTTGA_L008	X140815_UNC11_SN627_0375_BC59VCACXX_CGATGT_L003	X140820_UNC17_D00216_0241_BC5DBKACXX_CGATGT_L005	X140325_UNC11_SN627_0349_AC3KB8ACXX_GATCAG_L002	X140506_UNC15_SN850_0363_BC3YJYACXX_ACTGAT_L007	X140509_UNC11_SN627_0357_BC4CGKACXX_CAGATC_L005	X140508_UNC12_SN629_0367_AC3U9RACXX_GAGTGG_L002	X140509_UNC11_SN627_0357_BC4CGKACXX_GATCAG_L004	X140815_UNC11_SN627_0375_BC59VCACXX_GCCAAT_L008	X140820_UNC17_D00216_0241_BC5DBKACXX_TGACCA_L008	X140820_UNC17_D00216_0241_BC5DBKACXX_GCCAAT_L008
ENSG00000162913.9	0.755527	0.583209	1.17319	1.08556	0.291089	0.540843	0.282459	0.304797	0.434926	0.238807	0.203948	0.313585	0.185977	0.469301	0.318918	0.142411	0.514546	0.183856	0.298378	0.304091	0.123827	0.266625	0.298879	0.234047	0.267282	0.579702	0.616769	0.551487	0.899329	0.873348	0.954534	0.877964	0.451156	0.356311	0.143947	0.342885	0.0796292	0.334032	0.499085	0.360946	0.178388	0.278269	0.476666	0.895365	0.327112	0.183182	0.637669	0.511598	0.306425	0.391417	0.324785	0.520138	0.892587	0.608383	0.367498	0.560883	0.551923	0.583543	0.386623	1.01988	0.438812	0.303	0.33755	0.300563	0.91425	0.298078	0.272923	0.264278	0.557184	0.418199	0.928333	0.676915	0.807342	1.41333	0.468389	0.249143	0.347459	0.373045	0.294232	0.173488	0.442855	0.698238	0.412613	0.484148	0.516275	0.681331	0.691075	0.124116	0.299358	0.687003	1.04207	0.386051	0.792162	0.593168	0.425751	0.856137	0.851649	0.262691	0.370314	0.195063	0.34678	0.807787	0.726958	0.278141	0.707747	0.882727	0.494064	1.3012	0.37222	0.849858	0.876833	0.496657	0.134703	0.629169	0.564565
ENSG00000177602.5	0.730135	0.793855	0.520956	1.69163	0.612321	0.490448	0.282459	0.62121	0.199953	0.346133	0.069006	0.457669	0.295831	0.388374	0.790805	0.958209	0.472637	0.298338	0.260827	0.357277	0.0674598	0.119837	0.342459	0.202245	0.313124	0.610108	0.09251	0.407143	0.29662	0.672437	0.339451	0.310352	0.181942	0.186247	0.327185	0.156358	0.0667903	0.151953	0.174253	0.166463	0.6813	0.37468	0.249205	1.09252	0.899562	0.590079	0.214575	0.896707	0	0.194545	0.035894	0.157487	1.0209	0.203324	0.380231	0.508607	0.588666	0.56	0.541314	0.425288	1.21219	0.235417	0.206554	0.804864	0.429322	0.675303	0.44567	0.107449	0.329757	0.315448	0.247698	0.240325	0.247202	0.474653	0.510957	0.265965	2.0682	0.712922	0.257139	0.157433	0.335015	0.393721	0.19994	0.32876	0.639189	0.449896	0.128118	0.0163835	0.177213	1.13192	0.419731	0.401937	0.759053	0.845972	0.425751	1.01173	0.237994	0.314631	0.322779	0.252456	0.449302	0.363013	0.290809	0.249159	0.179651	1.8475	0.36566	1.60995	0.634035	0.90614	0.396928	0.522418	0.648802	0.158201	0.46665
ENSG00000229018.5	0.728839	0.54647	0.520956	1.30811	0.855067	0.760566	0.64229	0.842198	0.712272	0.669396	0.496514	0.649834	0.573546	0.734652	0.859376	0.958209	0.615941	0.714347	0.549618	0.674229	0.428554	0.623651	0.507213	0.449139	0.602842	0.842842	0.517882	0.904892	0.611979	0.789872	0.503427	0.638279	0.747516	0.704879	0.28151	0.491438	0.55731	0.529126	0.499085	0.592774	0.788291	0.632502	0.75707	0.797309	0.630257	0.807222	0.992177	0.986836	0.493133	0.435124	0.839692	0.543267	0.629886	0.928208	0.564575	0.810685	0.784605	1.33347	0.907278	0.600188	0.413113	0.535224	0.610449	1.28659	0.920742	1.04805	0.775933	0.292895	0.438535	0.823963	1.19254	0.433939	0.723511	0.577184	0.811113	0.434433	0.903401	1.24466	0.604755	1.05623	0.736093	0.983437	0.695392	0.755563	0.677018	0.838911	0.384337	0.536665	0.260278	0.449437	0.656071	0.756489	1.17673	0.99018	0.592027	0.890609	0.639573	0.830358	0.639946	0.890322	0.918413	0.799951	0.960323	0.54046	1.18502	1.1578	0.760112	0.930977	1.39204	0.912202	0.680314	0.798459	0.789203	0.895022	0.725739
ENSG00000149782.11	0.725756	3.95274	3.45436	3.95629	3.58806	3.39534	3.51645	3.84537	3.07121	3.13124	3.0809	3.90189	3.19669	3.39308	3.36082	3.21799	3.38373	3.50372	3.4459	3.60646	3.16368	2.76042	3.71181	3.72071	3.4339	4.19928	3.76586	3.81158	3.81192	3.66296	3.57788	3.91588	3.61447	3.3508	3.00789	3.27606	3.44873	3.25857	3.40913	3.27035	3.91572	3.92389	3.5366	3.314	4.06303	3.48424	4.08828	3.7991	3.15656	3.54006	3.81115	3.65129	3.76532	3.65422	3.63589	3.92839	3.89376	3.30897	3.87152	4.0539	3.83021	3.48933	2.99883	3.41736	3.57263	3.45979	3.9071	3.58389	3.50869	3.63206	3.98518	3.54242	3.74537	3.91089	4.10915	3.56139	3.84762	3.60373	3.39973	3.34818	3.5155	3.69504	3.62076	3.96224	3.69192	3.56092	3.31906	3.61387	3.58968	3.43907	3.80846	3.4826	4.0233	3.47161	3.92511	4.27306	3.56906	3.69888	3.91221	3.27667	3.41686	3.68018	3.84042	3.31497	4.04618	4.23488	4.1008	3.93777	3.29044	3.878	3.23327	3.85176	3.56169	3.68944	3.8072
ENSG00000178999.12	0.72253	1.11585	0.545512	2.78264	0.8953	0.97302	0.721489	0.86746	0.423843	0.705563	0.348364	0.695401	0.770951	0.637986	0.872544	1.4741	0.846738	0.622423	0.720484	0.890512	0.202835	0.523242	1.0388	1.04589	0.551227	1.89256	1.38746	0.882868	0.914818	1.12894	0.431069	1.09358	0.733925	0.598222	0.959413	0.963908	1.08574	0.418491	0.463801	0.309129	1.97704	1.01206	0.646367	1.58665	1.56138	1.26816	0.626103	1.82078	0.563584	0.987689	0.704723	0.644643	1.68399	0.642842	0.88578	1.1807	1.21879	1.84987	1.61388	0.979528	3.00965	0.815729	0.857595	1.92691	0.736532	1.11982	0.813238	0.684659	0.927037	1.00231	0.789534	1.35749	0.90109	1.08755	1.55254	0.602683	1.06855	1.48643	1.22938	0.574775	0.697224	0.83801	0.57839	1.85185	1.12562	0.644738	2.19571	1.30182	1.2982	0.986292	1.18175	0.722758	2.72103	1.0219	1.16071	1.69414	1.37968	1.35808	1.00266	0.688527	1.35013	1.06752	0.27669	0.51824	0.654118	2.88855	1.40576	3.12772	1.70648	1.45056	1.69803	1.41315	1.68157	0.668972	1.80249
ENSG00000202031.1	0.717709	0.0626321	0.0674333	0.0613411	0	0	0	0.0147388	0	0	0	0.0110994	0.0107002	0.0112362	0	0	0.0136388	0.0221792	0	0	0	0	0.0583253	0	0.0301808	0.0271887	0.07468	0.0693288	0.126003	0.0342786	0.0190636	0.0325468	0	0	0.0153637	0.0140052	0.0537843	0	0	0	0.0542958	0.0263856	0.0293549	0.0151295	0.0293315	0	0.0425952	0.0501047	0	0.0325056	0.136438	0.0757773	0.0206752	0.106821	0.0183357	0.0126689	0.0424164	0.0991756	0.0976791	0.0181119	0.038593	0	0	0	0.031981	0.0378593	0.0163809	0.055167	0.0176001	0	0.0457814	0.033394	0.0583575	0.208161	0.142218	0.122732	0.0669523	0.0442225	0.0241416	0.0187674	0.0517017	0.04424	0.016882	0.038186	0.035877	0.0348934	0.0193385	0.124116	0.0255228	0.06114	0.0191326	0.0232847	0.0827752	0.0698019	0.0228134	0.0639614	0.265842	0.0670313	0.0438436	0.108741	0.0427071	0.0839098	0.0368149	0.0370319	0.140965	0.107417	0.0229692	0.120519	0.0646707	0.0725461	0.0568243	0.158306	0.0315411	0.0188655	0.0401913
ENSG00000117472.9	0.717295	6.29439	5.5513	2.93485	6.12979	6.50489	6.98611	6.16417	6.45775	6.7949	7.77854	7.07026	7.36453	6.78423	6.01724	2.93276	6.45857	6.76483	7.44961	7.11476	4.85328	6.48371	7.51611	6.90035	7.29767	7.02753	6.93657	6.47152	6.90793	6.98048	5.96133	7.43399	7.11948	6.52592	6.28117	7.4813	6.86928	7.25253	7.25853	7.03963	6.73356	7.38628	6.41235	5.00401	6.13572	7.50451	6.21737	6.18916	5.17588	6.7743	6.5368	7.44927	6.4536	7.27083	7.39821	6.0489	5.8618	5.97396	5.74782	6.29239	6.35969	7.06968	6.07388	5.54313	6.64713	6.94744	6.47728	7.55688	7.29607	6.71681	6.15794	6.96424	6.64811	6.95459	6.43741	6.65379	6.40787	6.55562	6.37629	6.98609	7.44174	7.19383	7.19072	6.50252	6.84547	6.5695	7.19078	6.41935	7.47328	7.01526	7.00204	7.5002	4.12687	6.39084	6.70134	6.84786	5.90073	7.21555	7.09898	6.71981	6.78511	7.14698	6.69663	6.78752	6.4214	6.24679	5.93372	4.47387	6.43153	6.49311	6.4261	6.42113	6.84907	6.2371	5.74457
ENSG00000226942.2	0.716124	0.0776958	0.0931828	0.336941	0.0238479	0.0413369	0.0754162	0.071613	0.0972711	0	0.112499	0.0110994	0.021287	0	0.0753467	0.0251884	0.0791747	0.106281	0	0	0.022996	0.0496709	0.253313	0.0387933	0.168768	0.116918	0.09251	0.224151	0.0376495	0.385796	0.0741664	0.138779	0.0554467	0.0365459	0.116768	0	0.0537843	0.0661409	0.0188568	0.0471684	0.32972	0.0520929	0.151729	0.277734	0.29439	0.19298	0.68264	0.143359	0.0197241	0	0.0705441	0.179656	0.189714	0.266965	0.0363413	0.216916	0.0214331	0.189397	0.0402236	0.298074	0.129023	0.0642501	0.037526	0.0362425	0.0629709	0.492654	0.124097	0.0903236	0.132823	0.0541388	0.171751	0.253589	0.113496	0.265228	0.0408352	0.103294	0.117463	0.0585392	0.329999	0.250112	0.0517017	0.203892	0.112594	0.356393	0.0705112	0.0348934	0.21052	0.0163835	0.155322	0.173233	0.176612	0.0460396	0.37861	0.276192	0.0669359	0.309895	0.179858	0.149942	0.0438436	0.134174	0.0836648	0.300196	0.187521	0	0.192221	0.303337	0.120262	0.413651	0.125412	0.166007	0.241266	0.194255	0.189202	0.0734162	0.0976028
ENSG00000121152.9	0.713178	1.48376	0.861739	2.66802	1.3723	1.26787	0.922049	1.91117	0.55914	1.07299	0.767786	1.16277	0.910091	1.11357	1.44453	1.956	1.25647	0.899247	1.09	0.955228	0.327653	0.484789	0.921678	1.01292	0.840514	1.79446	1.34291	0.940554	0.809566	1.48163	0.559966	1.96294	0.850065	0.598222	0.360123	0.6358	0.55731	0.391123	0.510575	0.343971	2.01495	1.10922	1.05148	1.63832	2.20787	1.35418	0.80656	2.13115	0.0580423	0.950075	0.413197	0.368866	2.02833	0.59958	0.711121	0.948152	1.77797	1.51857	1.58486	1.01327	2.16018	0.9441	1.0556	2.20434	0.867588	1.88042	0.904179	0.374137	0.536632	0.93182	1.05564	1.26126	0.816237	0.876691	2.33433	0.682773	1.5141	1.30366	1.36298	0.542264	0.942082	1.14934	0.792449	1.73878	1.03901	1.18558	1.18329	0.466663	0.260278	0.654771	1.10159	1.0594	2.41183	1.53239	1.2305	2.15894	0.540309	1.25157	1.08925	0.730894	1.76153	0.952839	0.422003	0.664312	0.885012	3.13052	1.39142	3.13611	1.7963	1.70466	2.68795	1.10374	1.69636	0.707251	1.68419
ENSG00000143228.12	0.712959	0.836754	0.529209	2.2817	0.905111	0.863566	0.462158	1.39719	0.49896	0.757473	0.546	1.00838	0.542766	0.917426	1.01268	1.16119	1.15363	0.56036	0.513127	0.510642	0.202835	0.508038	0.603673	0.680924	0.619471	1.79675	1.11671	0.845047	0.569478	1.10613	0.479885	0.791861	0.586774	0.443613	0.233648	0.280948	0.165163	0.334032	0.451758	0.343971	1.34694	0.707724	0.770946	0.984658	1.59516	1.06197	0.614401	1.44386	0.198129	0.487201	0.298018	0.359751	1.4292	0.266965	0.729133	0.849593	1.39987	1.13335	1.38534	0.639519	2.4377	0.712766	0.578802	1.83111	0.663944	1.41716	0.768303	0.334341	0.546961	0.93182	0.844705	0.596079	0.405987	0.640127	1.52873	0.298782	1.05417	1.3199	1.26449	0.542264	0.809572	0.784422	0.61587	2.13694	0.739959	0.690274	1.04222	0.476968	0.0504104	0.587011	0.685697	0.588326	2.24373	1.05265	0.689266	1.80869	0.519217	1.17608	0.762152	0.810595	1.35013	0.734952	0.27669	0.411648	0.751532	2.72057	0.978816	2.76364	1.45635	1.19009	1.30023	0.863817	1.27074	0.555458	1.61322
