Sample	condition	ASPN	AC020571.3	C2	SRD5A2	CD38	HMGB2	BMP6	SLC22A3	SSTR1	COMP	FMOD	PPFIA2	SMOC1	MYBPC1
CPCG_0100_F1_R	HR	3.83191	2.57241	2.19011	2.12568	2.3624	3.16247	1.83796	2.54249	3.63853	2.51454	3.23568	3.00695	2.10237	3.91168
CPCG_0196_F1_R	HR	3.71066	1.84619	2.67141	2.08548	2.17719	2.82241	1.14094	2.84689	1.72959	4.34363	4.19534	2.45192	1.43469	3.92613
CPCG_0235_F1_R	HR	2.36386	3.42362	3.27022	2.14939	2.24516	2.14838	2.84205	2.35162	0.98958	3.13762	2.76037	3.20069	1.78042	6.1172
CPCG_0246_F1	LR	2.38238	3.04923	3.14	3.0707	4.28683	2.37484	0.623272	4.69837	0.258607	1.37403	4.95445	0.755941	2.07837	6.36844
CPCG_0249_F1	HR	3.61066	1.42091	2.94968	2.08804	4.20931	2.41456	1.47024	2.88398	1.96092	3.48513	3.48538	1.64954	2.30381	6.18065
CPCG_0250_F1_R	LR	2.02919	3.35774	3.26897	3.44644	4.60583	2.88529	1.31292	4.54328	0.52227	1.54327	5.31176	1.54044	3.54633	4.99594
CPCG_0255_F1_R	LR	1.729	2.23277	2.65674	2.79661	5.29521	2.48689	1.56389	3.02482	0.486339	0.824882	2.87897	0.380172	2.03205	5.68137
CPCG_0258_F1_R	LR	2.09474	3.41783	3.30495	3.05248	3.49786	2.31677	0.757723	5.44814	1.59934	1.06092	5.44557	0.999635	2.63388	5.02806
CPCG_0262_F1	LR	2.27295	2.25523	2.92309	2.52598	3.87637	2.00067	0.820973	5.63485	1.58619	1.13169	6.00235	4.57183	1.56859	3.72573
CPCG_0263_F1	LR	3.48476	1.78287	2.54116	2.76855	3.57739	2.62421	1.40376	3.84531	1.76681	2.73836	4.95993	2.5486	2.19494	4.67908
CPCG_0266_F1_R	LR	3.77586	0.807948	1.65536	1.18171	1.70601	2.10738	1.43944	2.55235	1.55936	3.46	4.03461	4.25711	1.12659	2.4036
CPCG_0267_F1	LR	1.65404	2.80073	2.19656	1.72236	4.10995	2.09099	0.778549	3.45648	0.418606	1.26127	4.96073	0.322965	1.11341	5.04089
