Sample	condition	ASPN	AC020571.3	C2	SRD5A2	CD38	HMGB2	BMP6	SLC22A3	SSTR1	COMP	FMOD	PPFIA2	SMOC1	MYBPC1
X111208_UNC10_SN254_0313_BD087RACXX_ACTTGA_L002	LR	1.40293	3.35788	3.20544	3.75216	3.7575	3.78423	1.26667	3.8316	1.13585	2.63564	4.80966	1.175	4.93833	4.90833
X111212_UNC15_SN850_0155_AD087AACXX_ACTTGA_L005	LR	3.36139	2.88428	3.6149	3.01504	3.59123	3.42585	2.15808	2.95211	1.78341	5.19791	4.70997	0.516476	2.48381	4.55022
X111212_UNC15_SN850_0156_BD0KGCACXX_ACTTGA_L001	HR	2.83155	2.23652	3.57264	3.25848	3.61543	3.47937	2.04906	3.79688	2.3864	3.15278	5.49442	2.61315	3.70656	4.50458
X111212_UNC15_SN850_0156_BD0KGCACXX_ACTTGA_L008	HR	2.577	2.72491	2.65095	2.70433	2.76239	3.77884	1.10519	3.23447	2.29201	3.98068	4.26913	0.43424	3.19547	4.61338
X111216_UNC10_SN254_0314_AD0JVAACXX_GATCAG_L004	HR	2.00364	2.90239	2.85054	2.90015	3.49688	3.86149	1.27685	3.7286	2.50206	2.53479	4.31749	1.17354	3.30292	4.69706
X111219_UNC11_SN627_0175_BC0CKKACXX_ACTTGA_L001	HR	1.15174	3.23447	4.09433	3.50982	0.751642	3.48131	2.36401	4.31254	1.53018	3.6042	5.96062	0.799088	4.48141	4.67037
X111219_UNC11_SN627_0175_BC0CKKACXX_ACTTGA_L003	HR	0.720826	2.88978	3.69015	3.45486	5.0699	3.46511	0.905581	5.53065	0.811691	0.862493	5.14607	1.06597	4.10106	5.47846
X111219_UNC11_SN627_0175_BC0CKKACXX_ACTTGA_L004	HR	1.29007	2.28442	3.4478	3.51806	5.17116	3.77514	1.58907	4.22487	2.36598	2.87383	4.80418	2.81612	3.95743	3.64793
X111219_UNC11_SN627_0175_BC0CKKACXX_ACTTGA_L005	LR	1.73753	3.21757	3.28073	2.48549	4.23983	3.01045	0.946932	2.29033	2.24495	1.74193	6.69225	1.12856	3.079	5.28908
X111219_UNC11_SN627_0175_BC0CKKACXX_CAGATC_L004	LR	0.979212	3.33995	3.9483	3.06324	4.46872	3.48263	1.66291	4.50334	1.6604	0.835574	5.89145	0.745852	3.09121	5.57778
X111219_UNC11_SN627_0175_BC0CKKACXX_GCCAAT_L005	LR	2.00953	2.60147	4.06221	3.43298	3.00715	3.66171	1.43572	4.55353	1.16133	2.82757	6.70196	0.535718	3.13117	5.24838
X120201_UNC11_SN627_0181_AC0CETACXX_CAGATC_L002	HR	3.19739	0.952533	2.46925	0.718952	0.612259	3.73	1.67145	3.40235	3.23569	3.33416	5.49214	1.33052	1.24258	2.55026
X120201_UNC11_SN627_0181_AC0CETACXX_GATCAG_L003	HR	3.3453	2.45417	2.94529	2.39063	4.47102	3.93144	1.98578	4.16409	3.59486	4.35876	5.16602	2.25569	3.70744	3.65081
X120201_UNC11_SN627_0181_AC0CETACXX_GCCAAT_L001	LR	1.60468	2.14405	3.07171	3.20809	3.72406	3.89681	1.28728	3.32809	1.47621	1.65657	4.70571	1.2113	3.39157	4.116
X120201_UNC11_SN627_0181_AC0CETACXX_TAGCTT_L004	HR	2.92207	1.99131	2.83792	1.73119	3.03457	3.60423	3.65618	2.02323	2.13459	4.7607	4.33711	3.51115	1.78742	2.84312
X120215_UNC10_SN254_0327_AC0CMCACXX_ACTTGA_L002	HR	2.29583	2.01938	2.3492	1.65568	2.01485	3.80173	1.34585	2.70028	3.01953	3.32067	5.08608	1.22849	1.59196	5.6966
X120215_UNC10_SN254_0327_AC0CMCACXX_ACTTGA_L004	HR	1.96024	2.67136	3.23357	3.32076	3.24622	3.55163	1.57003	4.03792	1.4736	3.29464	5.87335	1.79681	3.03325	5.43052
X120215_UNC10_SN254_0327_AC0CMCACXX_ACTTGA_L006	HR	2.28385	3.19979	2.85389	2.84419	3.5568	3.46891	2.52805	4.82378	3.12166	2.53339	6.67568	1.83981	2.49818	4.40555
X120215_UNC10_SN254_0327_AC0CMCACXX_GATCAG_L005	LR	1.36617	3.57033	4.05174	2.66051	4.44939	3.27931	1.39968	5.3177	2.11289	0.798213	6.21157	0.64032	3.10805	4.65619
X120215_UNC10_SN254_0327_AC0CMCACXX_GATCAG_L007	LR	1.97812	3.54343	4.27852	3.19007	4.28949	3.39484	1.42291	4.77788	1.97572	1.41873	6.03459	0.686264	3.47511	5.99184
X120223_UNC12_SN629_0186_AC0GA2ACXX_ACTTGA_L001	LR	1.30011	3.41335	3.69144	2.98673	4.65015	3.32801	1.23661	5.12993	0.884256	2.86047	5.58576	0.225029	3.68312	5.48587
X120223_UNC12_SN629_0186_AC0GA2ACXX_ACTTGA_L002	HR	1.54775	2.60578	2.49473	2.58811	3.67418	3.29996	2.07031	4.10419	3.40139	4.18392	4.62279	3.35721	3.48673	4.28056
X120223_UNC12_SN629_0186_AC0GA2ACXX_GATCAG_L008	HR	2.86946	1.97261	3.09416	1.94799	1.77717	4.3874	2.16654	3.91812	3.19147	3.6982	3.9425	0.398481	1.83183	5.49651
X120223_UNC12_SN629_0186_AC0GA2ACXX_TAGCTT_L007	HR	3.35811	1.69973	3.40617	1.78718	2.19901	3.65422	2.58583	3.49803	3.08736	3.76606	4.26592	4.01481	1.47853	3.77953
X120425_UNC11_SN627_0224_BD0VAKACXX_CAGATC_L002	LR	2.02429	3.34972	3.50539	2.08403	2.45116	4.09468	3.29164	4.13799	3.07689	2.10412	6.42471	1.74164	2.20666	6.0183
X120425_UNC11_SN627_0224_BD0VAKACXX_CAGATC_L006	HR	2.4749	0.477169	3.21026	0.119132	2.8616	4.83545	4.39239	2.10554	4.19965	2.67818	3.60906	2.82476	1.85929	3.18527
X120425_UNC11_SN627_0224_BD0VAKACXX_GATCAG_L003	HR	2.23717	2.23385	2.62453	1.90699	4.61909	3.61948	2.24376	5.01921	3.27843	1.82051	5.66986	0.501229	3.03353	5.50744
X120425_UNC11_SN627_0224_BD0VAKACXX_GATCAG_L005	HR	2.64549	3.8553	4.32585	0.678413	3.09653	3.94914	3.8211	4.77309	1.61543	4.41118	6.21477	0.344888	0.804463	5.74024
X120425_UNC11_SN627_0224_BD0VAKACXX_GATCAG_L007	LR	1.72042	2.39128	3.17351	1.87708	2.68611	3.33082	0.977636	4.38243	1.5755	2.84205	6.22476	0.536869	1.54381	5.42146
X120425_UNC11_SN627_0224_BD0VAKACXX_GCCAAT_L001	LR	2.44753	3.03866	3.92861	1.91421	4.82424	3.60128	1.33375	5.17523	2.52696	3.46232	6.46588	0.453227	1.99538	5.4008
X120425_UNC11_SN627_0224_BD0VAKACXX_GCCAAT_L005	HR	2.11855	2.80555	4.13845	1.23167	1.16241	3.51967	0.979284	2.87259	2.70855	1.9487	5.78425	0.0736584	1.24826	3.0012
X120425_UNC11_SN627_0224_BD0VAKACXX_TAGCTT_L007	LR	1.09562	3.55291	3.89154	3.53937	4.74555	3.48395	2.10729	5.22436	2.03979	1.23503	6.96221	0.539927	3.90199	5.03868
X120430_UNC10_SN254_0353_AC0TGUACXX_ACAGTG_L005	LR	1.85634	3.25007	3.71948	2.82332	5.05838	3.62196	1.52609	4.82942	1.59482	2.40124	5.55001	2.03177	3.48714	6.03154
X120430_UNC10_SN254_0353_AC0TGUACXX_CAGATC_L007	HR	2.91139	2.42043	3.64224	1.52005	1.64845	3.57807	3.30542	2.62733	2.02089	4.66833	3.96272	0.326832	1.91474	4.72264
X120430_UNC10_SN254_0353_AC0TGUACXX_CGATGT_L008	LR	2.80404	1.86186	2.88709	1.35402	0.876616	2.96027	1.60793	4.47486	4.22339	3.44214	5.71909	4.66386	2.13042	4.50542
X120430_UNC10_SN254_0353_AC0TGUACXX_GATCAG_L007	LR	1.80771	3.28368	3.90374	4.15314	3.55246	3.39597	1.44737	4.41878	1.52761	2.8849	6.50729	0.895407	4.2226	6.20457
X120430_UNC10_SN254_0353_AC0TGUACXX_GCCAAT_L002	HR	1.22237	3.29742	4.02027	1.21006	3.76617	3.43362	0.914402	4.46868	2.21277	3.64867	5.8636	2.42365	1.91096	4.97418
X120430_UNC10_SN254_0353_AC0TGUACXX_TAGCTT_L008	LR	1.7166	2.17932	2.21778	1.73363	5.19733	3.73011	1.2758	2.77925	3.9422	1.90936	5.27588	0.306419	1.96616	3.7996
