Sample	condition	HECW2-AS1	ASPN	COL1A1.v20	CD38	CAMK2N1	SFRP4	ASPN.v24	TROAP	SRD5A2	COL1A1	EFNA2	GTSE1	COL1A1.v5	PGM5-AS1	MYBPC1	UGT2B15	GMNN	COL3A1	AC069228.1	ctg_20	HOPX	USP9YP32	ctg_23	PTPRN2	SLC22A3	ANO7
X111208_UNC10_SN254_0313_BD087RACXX_ACTTGA_L002	LR	4.55738	0.255496	0	3.16304	0	0	1.72298	0	3.9397	0	1.72006	0	0	5.05783	4.79254	0	0.407339	1.87655	0	0	0	0	0	5.48727	3.00592	3.3447
X111212_UNC15_SN850_0155_AD087AACXX_ACTTGA_L005	LR	4.30067	2.06269	1.06159	2.16125	0	2.14754	3.92983	0.665507	3.04488	0	0	0	1.34454	2.94254	4.61963	0	0	0	0.00462964	0	0.789972	0.140871	0.147678	5.08007	1.64906	3.61137
X111212_UNC15_SN850_0156_BD0KGCACXX_ACTTGA_L001	HR	3.71097	0.694556	1.21838	2.89693	0	0	3.01264	1.52007	3.53418	0	1.44907	0	1.21838	4.04252	4.64733	1.63155	0.500505	0	1.69842	1.09352	1.24989	0.805798	0.0572807	5.46717	2.32846	3.91966
X111212_UNC15_SN850_0156_BD0KGCACXX_ACTTGA_L008	HR	4.33964	2.22187	0	0	0	0	2.77952	2.41514	3.02605	0	0	0	0	3.95041	4.78665	4.84025	0	0	0	0	1.40812	1.38365	0	4.86823	2.54169	3.07736
X111216_UNC10_SN254_0314_AD0JVAACXX_GATCAG_L004	HR	4.43389	0.140722	1.35351	3.5321	1.66893	0	2.36579	0	3.27595	0.743949	1.59508	0	0	4.54656	4.89622	1.11791	1.53772	1.35351	0.0035165	2.72623	0.835079	1.46565	2.41698	4.82393	2.29576	4.78908
X111219_UNC11_SN627_0175_BC0CKKACXX_ACTTGA_L001	HR	4.6258	0.701414	1.76282	0	1.07553	1.36029	0.658799	0	3.84113	0.848966	0.774311	0.625508	1.07553	3.75017	4.4514	0.0703545	0	0	0.00236719	0	0.582315	0	0	5.93397	3.1539	2.97892
X111219_UNC11_SN627_0175_BC0CKKACXX_ACTTGA_L003	HR	4.38191	0	0	4.50891	0	0	1.29778	0	3.77584	0	0	0	0	5.65664	5.59114	0	0	1.11328	0	0	0.749099	0.50331	0	5.46857	3.99599	4.21904
X111219_UNC11_SN627_0175_BC0CKKACXX_ACTTGA_L004	HR	3.89063	0.708367	1.28399	4.59919	0	1.28399	1.93439	0	3.81617	0	0	0	1.28399	4.91833	3.83658	0	0	2.17851	0.804974	0	0.347407	0	0	5.20657	2.89684	4.00241
X111219_UNC11_SN627_0175_BC0CKKACXX_ACTTGA_L005	LR	4.78644	0.657896	0	3.7084	0	0	2.22818	0	2.41349	0	0	0.33144	0	3.6716	5.4887	0	0	0	0.0743169	0	0	0.944642	0	6.02019	1.68015	4.66645
X111219_UNC11_SN627_0175_BC0CKKACXX_CAGATC_L004	LR	4.80412	0	0	3.71186	0	0	0.984407	1.3593	3.66279	0	0.900961	0	0	4.2214	5.57492	0	1.49787	0	0.0869912	0.326275	0	0	0.923607	5.30444	3.24614	5.06298
X111219_UNC11_SN627_0175_BC0CKKACXX_GCCAAT_L005	LR	4.31735	1.77219	0	2.85502	0	1.31617	2.02029	0	4.24438	0.190564	0.134214	0.343142	0	4.08893	5.30793	0	0	0	0	0	0.116939	0	0.270593	5.78618	3.1987	4.8203
X120201_UNC11_SN627_0181_AC0CETACXX_CAGATC_L002	HR	2.34346	1.79056	1.97693	0.575247	1.41349	0	3.87182	2.47536	0.33742	2.48537	0.642035	2.41468	1.41349	0	2.59832	0.816124	0	1.73438	2.02844	0	0	0	1.11696	5.25896	1.92789	4.51143
X120201_UNC11_SN627_0181_AC0CETACXX_GATCAG_L003	HR	4.25106	2.29903	1.90587	3.9196	0	0	3.74562	1.35134	2.88473	2.13852	1.29106	1.83989	1.35134	3.28704	3.58538	0	0	1.66656	1.48758	0	0.833425	2.26645	1.05945	4.39634	2.32473	3.42279
