probes	mean_LR	mean_HR	logFC	wilcoxon_pvalue
AC069228.1	1.21	2.63	0.78	0.008603
ctg_23	1.87	3.01	0.48	0.007756
ASPN.a	2.37	3.7	0.44	0.004889
EFNA2	1.03	1.52	0.39	1.248e-05
USP9YP32	1.2	1.52	0.24	0.2637
ctg_20	1.21	1.52	0.23	3.743e-05
UGT2B15	1.04	1.28	0.21	0.005834
GMNN	1.43	1.74	0.2	0.003047
ASPN.b	1.13	1.3	0.14	0.006883
TROAP	1.13	1.27	0.11	0.0132
HOPX	1.05	1.17	0.11	0.00666
COL1A1.b	1.08	1.18	0.09	0.06097
CAMK2N1	1.1	1.2	0.09	0.0126
PTPRN2	9.43	8.09	-0.15	0.4827
CD38	6.83	5.03	-0.31	0.05815
MYBPC1	38.01	25.73	-0.39	0.03984
SLC22A3	4.54	3.06	-0.39	0.03845
ANO7	40.85	24.88	-0.5	0.01246
HECW2-AS1	8.92	5.26	-0.53	0.0004246
SRD5A2	4.67	2.66	-0.56	0.0006773
PGM5-AS1	5.88	2.91	-0.7	0.002595
