probes	mean_LR	mean_HR	logFC	wilcoxon_pvalue
PPFIA2	5.1	21.85	1.46	1.225e-08
COMP	21.76	79.12	1.29	9.671e-17
SSTR1	9.3	30.56	1.19	4.995e-11
BMP6	5.17	14.77	1.05	2.083e-14
ASPN	7.05	18.6	0.97	2.032e-22
CD38	75.26	28.99	-0.95	1.387e-17
SLC22A3	90.85	41.52	-0.78	9.647e-18
SMOC1	35.01	17.42	-0.7	5.394e-16
AC020571.3	22.98	11.69	-0.68	1.944e-20
SRD5A2	21.35	10.78	-0.68	2.364e-17
FMOD	325.37	167.48	-0.66	2.6e-15
MYBPC1	274.38	148.83	-0.61	7.499e-14
C2	41.35	24.1	-0.54	3.082e-17
HMGB2	31.4	52.48	0.51	6.374e-19
