probes	mean_HR	mean_LR	log2FC	wilcoxon_pvalue
EFNA2	0.294234803184676	0.0280014929461429	3.39339224999266	1.248e-05
UGT2B15	0.194934956215874	0.0335682259104102	2.5378246240687	0.005834
AC069228.1	0.573228668116759	0.139752663005003	2.03623498890665	0.008603
HOPX	0.142750229115031	0.0455883357031743	1.64675641442524	0.00666
ctg_20	0.398751127097626	0.17807404369612	1.16301135409932	3.743e-05
ASPN	0.243198874669466	0.110385521799073	1.13958559298054	0.006883
COL1A1.v20	0.15216279460735	0.0722251969626065	1.07504150972669	0.06097
USP9YP32	0.312704299616971	0.153709413159575	1.02459353781382	0.2637
CAMK2N1	0.167534051438346	0.089451165835625	0.905282163910715	0.0126
TROAP	0.225452029142023	0.121310666245873	0.894114089698493	0.0132
ctg_23	0.92923761522103	0.544134807113812	0.77208343773412	0.007756
GMNN	0.524409610329658	0.322705980557121	0.700473809772264	0.003047
PGM5-AS1	0.914998721230436	1.46465557478535	-0.678719811256261	0.002595
ASPN.v24	1.11524579291908	0.714054842049133	0.64325491786266	0.004889
SRD5A2	0.899955393297663	1.39283297468769	-0.630096863170557	0.0006773
HECW2-AS1	1.40457252062058	2.03668987684582	-0.536095205069994	0.0004246
CD38	1.06167072808592	1.51559216410315	-0.513545195175562	0.05815
SLC22A3	0.938903398430436	1.31392910914327	-0.484838804435218	0.03845
ANO7	2.81913159935433	3.45238538761987	-0.292342694993377	0.01246
MYBPC1	2.68158681687101	3.26542646596299	-0.284184458970935	0.03984
PTPRN2	1.9396197066216	2.11825325867527	-0.127101271710081	0.4827
