probes	mean_HR	mean_LR	log2FC	wilcoxon_pvalue
USP9YP32	0.650536079166667	0.147768753731343	2.1382878336515	8.387e-10
UGT2B15	0.804080347083333	0.186380779104478	2.10908658193749	8.354e-08
AC069228.1	1.036342769375	0.27083504641791	1.93601490917515	9.568e-07
COL1A1.v5	0.783528391666667	0.210733880597015	1.89456327152724	2.337e-10
GTSE1	0.781761016666667	0.229936089552239	1.76549472330909	4.372e-12
CAMK2N1	0.854745916666667	0.257081559701493	1.7332694952876	2.067e-09
ctg_20	0.806506108333333	0.257748365671642	1.64572218034152	2.822e-09
COL1A1.v20	1.04170220833333	0.343418432835821	1.60090353040546	1.796e-11
GMNN	0.803355416666667	0.268334007462687	1.58200849226404	3.3e-10
COL1A1	1.32814449166667	0.445365940298507	1.57634897283949	9.94e-12
COL3A1	0.9369715875	0.315009813432836	1.5726085273316	4.491e-10
TROAP	1.5045169875	0.514601111940298	1.54777391669593	5.829e-18
SFRP4	1.20364616666667	0.414776119402985	1.53700660942575	1.576e-12
EFNA2	1.28718084583333	0.45280186119403	1.50726296966562	1.041e-12
ASPN	1.09412903833333	0.399573100746269	1.45325152602977	1.169e-14
HOPX	0.972648895833333	0.370756299253731	1.39144791414402	2.545e-11
ctg_23	1.26200897208333	0.565834009328358	1.15727136968346	7.687e-13
CD38	1.69559112916667	3.14848544776119	-0.892869675488178	2.048e-17
SLC22A3	2.008441325	3.13561039552239	-0.642669998659559	1.241e-18
PGM5-AS1	2.47468966666667	3.85626485074627	-0.639956521841585	1.02e-17
SRD5A2	2.14698997083333	3.18166991791045	-0.567468719154898	1.404e-16
ASPN.v24	3.2343003375	2.20483010447761	0.552786162189957	2.113e-22
HECW2-AS1	3.30175989166667	4.41045828358209	-0.417693362298536	7.29e-19
ANO7	3.5870875375	4.52878149253731	-0.336309980483505	2.892e-11
MYBPC1	4.25473487916667	5.27372462686567	-0.309753003746284	4.957e-13
PTPRN2	4.90780204166667	5.55491768656716	-0.178688475304139	1.226e-13
