probes	mean_cond1	mean_cond2	log2FC	wilcoxon_pvalue
PPFIA2	1.91406321583333	1.02577565522388	0.899923241257791	1.225e-08
CD38	2.47518683083333	3.81470197014925	-0.624032922446362	1.387e-17
COMP	3.65015357083333	2.4501725	0.575073839796689	9.671e-17
ASPN	2.60193842916667	1.75426887313433	0.56871693972935	2.032e-22
SRD5A2	1.92601786208333	2.84343199253731	-0.56201221626521	2.364e-17
BMP6	2.19973314166667	1.50554252985075	0.54704505220056	2.083e-14
AC020571.3	2.04681993083333	2.96696543283582	-0.535603931819588	1.944e-20
SSTR1	2.56381247083333	1.778026	0.528014319600182	4.995e-11
SMOC1	2.3697092725	3.25686708955224	-0.458774772457796	5.394e-16
SLC22A3	3.2045579725	4.22201387313433	-0.397805949883443	9.647e-18
MYBPC1	4.34103132083333	5.31107380597015	-0.290965746383402	7.499e-14
C2	2.94503085833333	3.56818350746269	-0.276907062427352	3.082e-17
FMOD	4.64381275	5.4884278358209	-0.241083147007145	2.6e-15
HMGB2	3.83054529166667	3.39950231343284	0.172226227999069	6.374e-19
